"miRNA","n_models_selected"
"MIMAT0000436",6
"MIMAT0000437",6
"MIMAT0000450",6
"MIMAT0000687",6
"MIMAT0002823",6
"MIMAT0003268",6
"MIMAT0003271",6
"MIMAT0003309",6
"MIMAT0000447",5
"MIMAT0000462",5
"MIMAT0000646",5
"MIMAT0000752",5
"MIMAT0001625",5
"MIMAT0002816",5
"MIMAT0002882",5
"MIMAT0003164",5
"MIMAT0003273",5
"MIMAT0003281",5
"MIMAT0004694",5
"MIMAT0004947",5
"MIMAT0005898",5
"MIMAT0006764",5
"MIMAT0007399",5
"MIMAT0017982",5
"MIMAT0018190",5
"MIMAT0019950",5
"MIMAT0022705",5
"MIMAT0026486",5
"MIMAT0031892",5
"MIMAT0004807",4
"MIMAT0005863",4
"MIMAT0005874",4
"MIMAT0005929",4
"MIMAT0005935",4
"MIMAT0005944",4
"MIMAT0005953",4
"MIMAT0010133",4
"MIMAT0015058",4
"MIMAT0016847",4
"MIMAT0019709",4
"MIMAT0022839",4
"MIMAT0026607",4
"MIMAT0026734",4
"MIMAT0001339",3
"MIMAT0002827",3
"MIMAT0005588",3
"MIMAT0018443",3
"MIMAT0022833",3
"MIMAT0004688",2
"MIMAT0019951",2
