"miRNA","estimate","odds_ratio","std_error","z_value","p_value","adj_p_value"
"MIMAT0019951",0.0134433148594397,1.0135340824999,0.0122026791519929,1.10166912462368,0.270605544579832,0.270605544579832
"MIMAT0010133",0.00481941874883395,1.00483105082648,0.0037219984859528,1.29484704709659,0.195372998553164,0.19936020260527
"MIMAT0000462",-0.00751491844281887,0.992513247956554,0.00542215406927109,-1.38596549393682,0.165757440245015,0.177977997262233
"MIMAT0022705",-0.0284156385065517,0.971984288733701,0.020608482880013,-1.37883213781401,0.167946515428471,0.177977997262233
"MIMAT0005588",0.0344332114499124,1.03503289772104,0.025143838350083,1.3694492849696,0.170858877371744,0.177977997262233
"MIMAT0001625",0.0169927365923496,1.01713793441096,0.0119249064784243,1.42497860449426,0.154163385889365,0.172414285168653
"MIMAT0005863",0.00755747889906644,1.00758610872037,0.00531657022622852,1.42149517028529,0.155172856651788,0.172414285168653
"MIMAT0000450",0.00489017013362992,1.00490214652984,0.00189007508440735,2.58728881935571,0.00967344715591469,0.155058864094128
"MIMAT0017982",0.159492572544204,1.17291555040997,0.065250910674017,2.44429649941597,0.014513493348837,0.155058864094128
"MIMAT0018443",0.0309313250165274,1.03141466906891,0.013087851501452,2.36336155044973,0.0181099919966846,0.155058864094128
"MIMAT0005874",0.022250447084677,1.02249983450824,0.00973921725962122,2.28462375276577,0.0223348989356581,0.155058864094128
"MIMAT0003268",0.044028667160418,1.04501231199464,0.019513621391285,2.25630426447044,0.0240515825104981,0.155058864094128
"MIMAT0026486",0.0137504458338032,1.01384541801815,0.00613798621265642,2.24022103624964,0.0250765766331059,0.155058864094128
"MIMAT0000687",-0.0146562211344469,0.985450658486963,0.00655036016723258,-2.23746798042694,0.0252557697931153,0.155058864094128
"MIMAT0000646",0.00641076790881287,1.00643136086343,0.00306217531763953,2.09353392403234,0.0363015190228883,0.155058864094128
"MIMAT0018190",-0.0318156151493484,0.968685176485235,0.0152287634560432,-2.08917915372329,0.036691599228286,0.155058864094128
"MIMAT0003309",-0.00891475435347161,0.991124864251666,0.00446003160103732,-1.99880968363502,0.0456289496439665,0.155058864094128
"MIMAT0004947",0.0279305620036262,1.02832427716484,0.0148369450735811,1.88250086962711,0.0597680419167367,0.155058864094128
"MIMAT0005953",0.0061780030789427,1.00619712630079,0.0032998438051721,1.87221076017581,0.0611774510238838,0.155058864094128
"MIMAT0002816",0.00166514452075631,1.00166653164371,0.000905403826203238,1.83911805159805,0.0658978244612344,0.155058864094128
"MIMAT0002823",0.301250984081638,1.35154851613563,0.165597080459996,1.81918052688382,0.0688838927176182,0.155058864094128
"MIMAT0003281",-0.014659846104427,0.985447086264384,0.00838080242490264,-1.74921748075899,0.0802534335339395,0.155058864094128
"MIMAT0007399",0.015552461713955,1.01567403066112,0.00899992027325092,1.72806660967645,0.0839762830062857,0.155058864094128
"MIMAT0005935",0.00883113269958437,1.00887024219423,0.00511057600341265,1.72801122489662,0.0839862119512133,0.155058864094128
"MIMAT0005944",0.0671232704461593,1.0694272988299,0.0391636527174807,1.71391751761191,0.0865438753461003,0.155058864094128
"MIMAT0031892",-0.102552611517493,0.902530664995944,0.0600027549134335,-1.70913171679279,0.0874265537105806,0.155058864094128
"MIMAT0006764",0.0671251532135526,1.06942931231464,0.039361517455096,1.70534973124778,0.0881292176718057,0.155058864094128
"MIMAT0005898",0.00506941353221187,1.00508228474964,0.00301715643400597,1.6801957880192,0.09291922858628,0.155058864094128
"MIMAT0022839",-0.171384131144036,0.842497881630423,0.102463719195397,-1.67263234723316,0.0943996949022023,0.155058864094128
"MIMAT0002827",0.00877999101225346,1.00881864818706,0.00525898112404452,1.66952320328943,0.0950137358473833,0.155058864094128
"MIMAT0001339",0.00654332185748435,1.00656477615655,0.00395208366576103,1.65566379937059,0.0977899222191412,0.155058864094128
"MIMAT0002882",0.0406011203550879,1.04143661481847,0.0246521334211942,1.64696173192791,0.0995659118488673,0.155058864094128
"MIMAT0019709",0.00492659077699772,1.00493874637903,0.00301511685941688,1.63396346035839,0.102266523217149,0.155058864094128
"MIMAT0019950",-0.0149548567416051,0.985156411769702,0.0092288895675327,-1.620439450724,0.105137911150558,0.155058864094128
"MIMAT0003164",-0.0113871204318256,0.988677467434974,0.00710247466187401,-1.60326097225683,0.10887704910988,0.155058864094128
"MIMAT0026607",-0.0355938634183303,0.965032148762455,0.0223212261221965,-1.59461954390289,0.110797339470409,0.155058864094128
"MIMAT0004807",0.0132048484281071,1.01329241745986,0.00828646373219193,1.59354446659892,0.11103810121925,0.155058864094128
"MIMAT0000447",-0.0273613477578851,0.973009583161407,0.0172370520721322,-1.58735656441633,0.11243191092212,0.155058864094128
"MIMAT0004694",0.0181510612694619,1.0183167929991,0.0114544531431404,1.5846292304519,0.113050599612598,0.155058864094128
"MIMAT0015058",0.00720297846432582,1.00722898231126,0.00460582682732342,1.56388390931139,0.117844833945131,0.155058864094128
"MIMAT0003273",-0.00644596660921471,0.993574764066551,0.00415767697537828,-1.55037696468188,0.121051064124596,0.155058864094128
"MIMAT0016847",-0.0131325237103693,0.986953331635734,0.00847656620508946,-1.54927400938417,0.12131586488318,0.155058864094128
"MIMAT0000436",-0.00255552196469946,0.997447740601778,0.00165110408091396,-1.54776551898828,0.121678761046462,0.155058864094128
"MIMAT0000752",-0.0154940850772749,0.984625330717253,0.0100891560064795,-1.53571667117886,0.124607884489894,0.155058864094128
"MIMAT0005929",0.0600198371751829,1.06185761059187,0.0392555343599808,1.52895223956932,0.126276284375429,0.155058864094128
"MIMAT0022833",-0.00956246946326121,0.990483105562239,0.00626341775027015,-1.52671749586698,0.126831274910346,0.155058864094128
"MIMAT0004688",0.00995530871976772,1.01000502765778,0.00660499024726913,1.50724048743052,0.13174902584692,0.155058864094128
"MIMAT0000437",-0.0138046522983445,0.986290194968065,0.0091634856906404,-1.50648484260139,0.131942755296324,0.155058864094128
"MIMAT0003271",-0.00247916018810943,0.997523910391499,0.00164831419230931,-1.50405802466342,0.132566426991997,0.155058864094128
"MIMAT0026734",-0.0537877031502801,0.947633264705203,0.0358341232145801,-1.50101909367759,0.13335062312095,0.155058864094128
